Domain,Experience_Years,Projects_Completed,Avg_Rating,Retention_Rate,Premium_Certified,Portfolio_Pieces_Count,Learning_Hours_Per_Week,Is_New,Hourly_Rate_USD
Content Writing,8.52,161,4.75,95.9,1,0,0,0,125.13
Web Development,5.31,180,4.56,93.25,1,0,0,0,127.75
Graphic Design,9.21,13,3.69,71.74,0,0,5,0,77.01
Data Analysis,4.79,24,4.62,74.23,1,0,0,0,69.55
Web Development,3.98,132,3.96,56.64,0,0,5,0,92.77
Web Development,8.19,198,3.23,75.46,1,0,2,0,147.83
Data Analysis,0.35,0,0,0,0,1,15,1,23
Graphic Design,0.13,3,0,0,1,3,18,1,40.1
Data Analysis,4.37,93,3.48,71.14,1,0,0,0,96.26
Graphic Design,1.5,6,3.2,81.05,1,0,2,0,58.8
Data Analysis,0.18,3,0,0,0,4,10,1,30.29
Data Analysis,7.01,112,4.34,84,1,0,0,0,116.68
Data Analysis,2.51,59,3.59,79.3,0,0,5,0,64.26
Data Analysis,8.66,151,4.49,60.33,1,0,0,0,118.59
Content Writing,3.46,34,4.23,82.56,1,0,0,0,74.52
Web Development,0.35,5,0,0,1,5,5,1,35.01
Digital Marketing,8.3,155,3.45,60.39,0,0,0,0,117.08
Content Writing,6.49,181,3.51,81.17,0,0,0,0,111.16
Digital Marketing,0.45,2,0,0,0,4,16,1,31.99
Digital Marketing,7.86,146,4.84,87.18,0,0,0,0,122.51
Content Writing,8.98,171,4,72.84,1,0,2,0,143.51
Web Development,4.34,109,4.54,91.97,0,0,0,0,92.03
Digital Marketing,5.56,8,3.72,72.47,0,0,5,0,63.86
Digital Marketing,0.18,2,0,0,1,4,4,1,30.27
Web Development,7.17,22,4.98,81.77,0,0,0,0,77.62
Data Analysis,6.22,183,4.13,78.87,1,0,2,0,127.67
Web Development,1.82,188,4.19,53.02,0,0,0,0,90.39
Data Analysis,5.17,114,3.54,58.21,1,0,0,0,100.53
Web Development,0.49,0,0,0,0,0,15,1,15.76
Data Analysis,2.16,144,4.88,68.81,0,0,2,0,88.63
Data Analysis,8.64,39,3.44,81.22,1,0,5,0,99.76
Data Analysis,7.28,70,4.99,75.34,1,0,0,0,97.48
Data Analysis,0.95,104,4.71,56.34,0,0,5,0,63.53
Digital Marketing,0.22,2,0,0,0,2,14,1,23.61
Data Analysis,1.72,120,4.97,56.78,1,0,0,0,90.21
Web Development,9.52,22,3.25,72.05,0,0,0,0,83.3
Web Development,4.16,45,3.71,52.99,0,0,5,0,58.49
Web Development,0.45,3,0,0,0,2,20,1,31.25
Web Development,9.06,120,3.68,96.26,0,0,2,0,123.39
Graphic Design,9.54,64,3.76,74.32,0,0,0,0,98.97
Graphic Design,0.72,183,4.36,86.8,0,0,0,0,84.33
Digital Marketing,8.99,144,3.12,79.02,1,0,2,0,130.15
Digital Marketing,5.14,134,3.92,76.89,1,0,5,0,114.82
Digital Marketing,1.54,147,3.66,54.94,0,0,2,0,76.59
Web Development,8.29,181,3.86,98,0,0,0,0,132.55
Content Writing,4.22,148,3.3,56.86,1,0,0,0,99.04
Web Development,0.24,4,0,0,0,4,11,1,27.98
Content Writing,6.5,16,3.32,97.42,1,0,2,0,77.29
Content Writing,0.47,4,0,0,0,2,14,1,21.08
Digital Marketing,0.31,3,0,0,0,6,16,1,32.59
Content Writing,0.38,4,0,0,0,4,18,1,25.91
Web Development,0.47,0,0,0,1,4,7,1,31.18
Content Writing,2.64,127,3.27,87.8,0,0,0,0,80.11
Content Writing,3.38,74,4.51,63.15,0,0,2,0,74.66
Content Writing,9.17,199,3.9,91.53,0,0,2,0,140.09
Content Writing,0.69,193,3.19,60.11,1,0,2,0,108.82
Digital Marketing,4.6,126,3.35,72.58,1,0,2,0,98.45
Graphic Design,5.28,58,3.67,88.3,1,0,0,0,95.61
Digital Marketing,0.28,5,0,0,1,6,5,1,39.96
Graphic Design,9.47,61,3.5,75.49,0,0,0,0,108.17
Data Analysis,0.22,1,0,0,1,2,3,1,24.84
Content Writing,7.5,128,4.66,95.24,1,0,2,0,125.77
Graphic Design,0.21,0,0,0,0,0,20,1,23.22
Digital Marketing,3.28,38,4.65,82.81,0,0,2,0,69.74
Graphic Design,0.39,0,0,0,0,4,16,1,35
Data Analysis,9.09,90,3.19,82.35,1,0,2,0,120.3
Web Development,1.44,150,3.89,94.36,1,0,2,0,101.78
Digital Marketing,0.4,5,0,0,0,2,19,1,31.25
Digital Marketing,3.05,155,4.19,83.77,1,0,0,0,111.57
Web Development,1.45,198,3.72,84.02,0,0,2,0,95.41
Data Analysis,0.27,0,0,0,0,3,13,1,22.84
Content Writing,4.66,179,4.52,75.13,0,0,5,0,115.2
Web Development,2.08,174,3.11,70.67,1,0,0,0,97.45
Data Analysis,7.48,164,3.15,81.03,1,0,5,0,133.8
Graphic Design,8.45,158,3.15,68.27,1,0,5,0,127.55
Content Writing,6.23,150,3.13,52.9,1,0,5,0,110.54
Data Analysis,0.22,4,0,0,0,4,9,1,21.46
Digital Marketing,7.93,40,4.64,88.11,1,0,0,0,99.23
Digital Marketing,1.27,143,4.91,82.68,0,0,0,0,84.9
Content Writing,1.8,146,3.67,80.23,1,0,2,0,98.23
Graphic Design,1.55,46,3.76,69.85,1,0,5,0,61.99
Data Analysis,0.46,0,0,0,0,4,5,1,18.3
Data Analysis,2.08,158,4.6,70.4,0,0,0,0,96.11
Content Writing,2.75,118,4.29,82.31,1,0,2,0,103.26
Graphic Design,0.37,1,0,0,0,3,20,1,30.43
Digital Marketing,6.69,53,4.1,66.07,0,0,0,0,74.45
Web Development,1.13,108,3.44,99.24,0,0,0,0,74.14
Data Analysis,3.38,93,3.61,59.24,1,0,2,0,82.12
Web Development,0.4,4,0,0,0,2,6,1,13.66
Web Development,7.78,183,4.87,91.53,1,0,0,0,141.52
Web Development,7.91,177,3.11,79.84,1,0,0,0,135.35
Data Analysis,4.49,134,4.48,95.71,0,0,2,0,106.03
Graphic Design,3.43,122,3.85,88.19,0,0,2,0,85.93
Digital Marketing,4.83,74,3.08,69.45,1,0,0,0,85.67
Web Development,0.45,5,0,0,0,3,8,1,20.42
Digital Marketing,0.27,5,0,0,1,2,13,1,29.51
Web Development,1.08,52,3.49,60.94,0,0,0,0,41.77
Content Writing,6.01,67,3.97,87.52,1,0,0,0,96.78
Data Analysis,0.84,137,3.72,68.42,1,0,5,0,91.41
Content Writing,0.2,3,0,0,1,5,10,1,35.77
Data Analysis,9.26,85,3.36,57.32,1,0,5,0,101.9
Graphic Design,8.18,146,3.14,52.31,1,0,5,0,120.14
Content Writing,0.54,39,4.86,81.44,1,0,0,0,65.45
Digital Marketing,3.77,17,4.11,55.26,1,0,0,0,57.65
Web Development,8.56,120,4.05,54.67,1,0,0,0,111.57
Digital Marketing,3.73,130,3.85,72.72,0,0,0,0,82.98
Digital Marketing,0.24,3,0,0,0,6,8,1,25.58
Data Analysis,0.46,3,0,0,1,5,20,1,37
Data Analysis,8.53,98,4.51,58.63,1,0,0,0,103.6
Digital Marketing,1.91,154,4.6,76.37,0,0,5,0,91.75
Web Development,8.6,147,4.57,60.63,1,0,0,0,122.05
Data Analysis,7.39,91,3.8,55.8,1,0,2,0,112.48
Web Development,0.36,5,0,0,0,8,13,1,28.17
Digital Marketing,3.01,80,4.8,78.33,1,0,0,0,78.53
Content Writing,0.43,4,0,0,0,4,20,1,33.64
Content Writing,5,33,4.44,93.7,0,0,2,0,72.99
Data Analysis,0.29,0,0,0,0,2,19,1,22.77
Digital Marketing,6.39,91,3.84,98.27,1,0,0,0,106.02
Data Analysis,4.61,39,4.27,78.09,1,0,0,0,76.56
Content Writing,3.03,19,3.71,62.68,1,0,0,0,53.73
Data Analysis,3.26,50,4.25,93.81,1,0,0,0,81.78
Content Writing,6.61,52,3.49,55.69,1,0,5,0,98.51
Data Analysis,0.5,3,0,0,0,3,5,1,20.13
Graphic Design,7.97,78,3.18,72.35,0,0,0,0,95.09
Content Writing,0.17,4,0,0,1,1,5,1,19.56
Graphic Design,4.11,91,3.35,68.54,1,0,0,0,86.58
Web Development,1.56,166,3.96,70.71,0,0,2,0,89.35
Digital Marketing,0.83,15,3.09,76.41,1,0,2,0,54.26
Data Analysis,2.87,94,3.21,68.34,0,0,0,0,79.19
Graphic Design,3.97,143,3.34,93.74,0,0,0,0,93.67
Graphic Design,3.97,187,3.16,72.07,0,0,0,0,100.12
Digital Marketing,0.42,2,0,0,0,1,4,1,22.5
Graphic Design,3.93,179,3.74,55.25,0,0,0,0,96.89
Web Development,5.09,184,3.99,71.15,1,0,0,0,128.52
Data Analysis,5.53,136,4.88,71.48,0,0,2,0,103.29
Digital Marketing,1.66,161,3.46,64.66,1,0,2,0,91.86
Data Analysis,0.36,3,0,0,0,6,11,1,24.44
Digital Marketing,7.74,93,3.78,69.12,1,0,0,0,103.95
Web Development,6.36,127,4.08,56.96,1,0,5,0,108.8
Web Development,1.51,171,3.94,67.88,1,0,2,0,99.56
Digital Marketing,7.76,159,4.34,52.95,1,0,0,0,126.12
Data Analysis,1.23,79,4.43,65.5,1,0,0,0,76.01
Web Development,7.95,70,4.23,86.28,1,0,2,0,109.73
Data Analysis,8.24,28,3.8,87.59,0,0,2,0,73.04
Content Writing,2.07,24,3.45,66.37,0,0,0,0,48.54
Digital Marketing,8.2,147,4.04,68.61,1,0,5,0,130.29
Data Analysis,9.28,59,4.24,89.58,1,0,0,0,109.96
Web Development,4.03,31,3.68,89.49,1,0,0,0,77.69
Data Analysis,0.42,2,0,0,0,3,16,1,27.71
Data Analysis,8.65,165,3.58,56.55,1,0,0,0,120.7
Graphic Design,3.49,130,3.89,80.01,1,0,5,0,97.26
Digital Marketing,9.67,194,4.45,90.31,0,0,0,0,145.2
Data Analysis,7.62,145,4.42,90.69,0,0,2,0,118.66
Graphic Design,5.91,8,4.18,96.51,0,0,0,0,66.29
Graphic Design,5.18,39,3.61,84.12,0,0,2,0,68.64
Data Analysis,0.44,2,0,0,0,4,17,1,18.73
Digital Marketing,3.35,143,3.9,89.82,1,0,5,0,116.88
Data Analysis,0.72,186,4.78,88.92,1,0,2,0,104.91
Graphic Design,5.75,109,4.57,67.07,1,0,2,0,110.93
Graphic Design,5.71,174,4.54,56.6,1,0,5,0,125.63
Web Development,0.17,1,0,0,0,2,18,1,20.49
Web Development,6.53,155,4.04,52.54,1,0,0,0,121.77
Digital Marketing,8.6,188,3.75,65.97,0,0,2,0,134.42
Content Writing,4.24,122,4.31,74.52,1,0,0,0,100.65
Graphic Design,0.39,3,0,0,1,5,15,1,39.9
